artista,track,playcount,listeners
Héroes del Silencio,Iberia Sumergida,142835,26297
Héroes del Silencio,Con Nombre De Guerra,126360,24757
Héroes del Silencio,Malas Intenciones,119885,24539
Héroes del Silencio,Deshacer El Mundo,137548,23499
Héroes del Silencio,La Herida,136521,23298
Héroes del Silencio,Flor De Loto,111692,22558
Héroes del Silencio,Despertar,104718,22090
Héroes del Silencio,Hechizo,107581,21735
Héroes del Silencio,Opio,109727,20142
Héroes del Silencio,Nuestros Nombres,103180,19901
Héroes del Silencio,Decadencia,90221,19094
Héroes del Silencio,Flor Venenosa,107383,19060
Héroes del Silencio,Oración,103316,18859
Héroes del Silencio,Héroe De Leyenda,104309,18376
Héroes del Silencio,Senda,77186,17998
Héroes del Silencio,Tesoro,74063,14975
Héroes del Silencio,El Estanque,82122,14817
Héroes del Silencio,Agosto,77057,14583
Héroes del Silencio,En Brazos De La Fiebre,68447,14103
Héroes del Silencio,El Camino Del Exceso,66046,13721
Héroes del Silencio,Fuente Esperanza,63960,13067
Héroes del Silencio,El Cuadro II,49259,12850
Héroes del Silencio,Hace Tiempo,65152,12471
Héroes del Silencio,Bendecida,63337,11425
Héroes del Silencio,Parasiempre,52670,11291
Héroes del Silencio,Los Placeres De La Pobreza,50886,11217
Héroes del Silencio,No Más Lágrimas,61383,10995
Héroes del Silencio,Tumbas De Sal,48149,10624
Héroes del Silencio,Derivas,35860,9804
Héroes del Silencio,La Apariencia No Es Sincera,45161,9752
Héroes del Silencio,La Chispa Adecuada (Bendecida 3),51886,9623
Héroes del Silencio,Sangre Hirviendo,43016,9496
Héroes del Silencio,Culpable,39452,9403
Héroes del Silencio,La Alacena,38400,9337
Héroes del Silencio,La Espuma De Venus,42784,9147
Héroes del Silencio,Heroe de Leyenda,49135,8984
Héroes del Silencio,Z,34926,8949
Héroes del Silencio,Virus,35016,8831
Héroes del Silencio,El Mar No Cesa,43190,8614
Héroes del Silencio,Olvidado,35460,8501
Héroes del Silencio,La Lluvia Gris,36151,8468
Héroes del Silencio,"Rueda, Fortuna!",34926,8415
Héroes del Silencio,Bendecida 2,33956,8077
Billie Eilish,BIRDS OF A FEATHER,55492963,2220930
Billie Eilish,bad guy,20339309,1665918
Billie Eilish,WILDFLOWER,36077717,1636938
Billie Eilish,when the party's over,22231168,1613153
Billie Eilish,LUNCH,27833062,1582882
Billie Eilish,Happier Than Ever,29096994,1550087
Billie Eilish,CHIHIRO,31995023,1540375
Billie Eilish,ocean eyes,18429178,1525640
Billie Eilish,lovely (with Khalid),18194264,1502202
Billie Eilish,everything i wanted,21726233,1458788
Billie Eilish,"What Was I Made For? [From the Motion Picture ""Barbie""]",20527148,1353400
Billie Eilish,i love you,19019131,1245293
Billie Eilish,idontwannabeyouanymore,15185225,1219121
Billie Eilish,bellyache,14241677,1191147
Billie Eilish,TV,18702543,1174755
Billie Eilish,you should see me in a crown,12522096,1149666
Billie Eilish,bury a friend,12913483,1110636
Billie Eilish,wish you were gay,12083044,1045465
Billie Eilish,Bored,12157978,1040764
Billie Eilish,THE GREATEST,18330789,1023712
Billie Eilish,Billie Bossa Nova,15324985,1014374
Billie Eilish,L’AMOUR DE MA VIE,16795194,1010901
Billie Eilish,all the good girls go to hell,10456476,1007989
Billie Eilish,SKINNY,14662421,1005154
